,name,full_text,date,url
32,Andrew Tate,"YOU POSSESS UNLIMITED POWER.

Harness it.

Become unstoppable.",2023-01-03T11:02:50.000Z,https://twitter.com/Cobratate/status/1610230197206278158
33,Andrew Tate,"“Allah does not burden a soul beyond that it can bear.""

[Surah Baqarah : 286]",2023-01-02T20:08:31.000Z,https://twitter.com/Cobratate/status/1610005137619132422
34,Andrew Tate,"I was made for battle.

A warrior of the light.

My enemies hope to attack me with lies.

They try to destroy the family unit, they try to silence any loud opposition.

I refuse to leave fellow men in the dark.

Someone needs to show them the light,

Who better than TATE.",2023-01-02T15:30:25.000Z,https://twitter.com/Cobratate/status/1609935147906002946
35,Andrew Tate,"The answer is out there. It's looking for you. And it will find you if you want it to.

https://t.co/rf1rOtudjB",2023-01-01T13:43:07.000Z,https://twitter.com/Cobratate/status/1609545760168873987
36,Andrew Tate,"God is on our side, so the Matrix will not win.

Inshallah",2022-12-31T15:07:21.000Z,https://twitter.com/Cobratate/status/1609204569552060416
37,Andrew Tate,"It appears the insanity of the ruling elite is exposed worldwide now.

They have one command,

Do not speak out, behave as sheep.",2022-12-31T09:34:25.000Z,https://twitter.com/Cobratate/status/1609120784559005697
38,Andrew Tate,The Matrix will only tell you what the Matrix needs you to believe.,2022-12-31T00:26:12.000Z,https://twitter.com/Cobratate/status/1608982819879137282
39,Andrew Tate,The Matrix sent their agents.,2022-12-30T10:30:45.000Z,https://twitter.com/Cobratate/status/1608772573692854272
40,Andrew Tate,"Thank you for confirming via your email address that you have a small penis @GretaThunberg 

The world was curious. 

And I do agree you should get a life ❤️ https://t.co/SMisajQRcf",2022-12-28T21:26:23.000Z,https://twitter.com/Cobratate/status/1608212791009374208
41,Andrew Tate,She ain’t ready.,2022-12-28T21:12:25.000Z,https://twitter.com/Cobratate/status/1608209275716866049
42,Andrew Tate,"Strange as it may seem, there is a teenager out there who believes your government should tax you into poverty to stop the sun from being hot.",2022-12-28T20:56:27.000Z,https://twitter.com/Cobratate/status/1608205257934258176
43,Andrew Tate,I got beans greens potatoes tomatoes lambs rams hogs dogs chicken turkey rabbits YOU NAME IT,2022-12-28T18:19:23.000Z,https://twitter.com/Cobratate/status/1608165734345019393
44,Andrew Tate,Agreed.,2022-12-28T13:11:57.000Z,https://twitter.com/Cobratate/status/1608088363390668807
45,Andrew Tate,"As you dangle mortally on the cliff's edge, your fingertips burning as they dig into rock, you MUST hold until you are rescued. 

It doesn’t matter if you let go 5 minutes or 5 seconds before a helping hand appears. 

You STILL DIE. 

Almost a winner, is still a loser.",2022-12-28T08:39:41.000Z,https://twitter.com/Cobratate/status/1608019844766617601
46,Andrew Tate,"Hot girl goes to Courchevel and posts videos of:

An Urus 
A 5 star hotel
Luxury dinners
Champagne lunches
Skiing

She edits into a nice little TikTok.

She paid for absolutely none of it and doesn’t even post the guy who did.

Clowns.

I’d be in EVERY SINGLE SHOT. 

HELLO 😁",2022-12-27T19:34:25.000Z,https://twitter.com/Cobratate/status/1607822226534842374
47,Andrew Tate,"Mum: ""Hi Andrew Piers morgan said you were shot and dead. Hope youre ok? Love you""

😂",2022-12-27T17:55:15.000Z,https://twitter.com/Cobratate/status/1607797270090780672
48,Andrew Tate,Me and my castle https://t.co/juxkDm3qXw,2022-12-27T16:28:36.000Z,https://twitter.com/Cobratate/status/1607775465451945984
49,Andrew Tate,"The most interesting lessons from the Matrix movies

Watch the full EM episode here:
https://t.co/nc4IRs8vtp https://t.co/gz4ywZIFK5",2022-12-27T15:11:36.000Z,https://twitter.com/Cobratate/status/1607756088450899972
50,Andrew Tate,I bought both.,2022-12-27T12:40:43.000Z,https://twitter.com/Cobratate/status/1607718117098283010
51,Andrew Tate,"Russian advertisement depicts Putin as Santa Claus, using magic to save a child from having gay dads, wearing pink and LGBT indoctrination.

Russia believes the proxy war against NATO is necessary to preserve Christian values and fight satanism which controls the West. https://t.co/BdoZDQqtrx",2022-12-27T12:28:42.000Z,https://twitter.com/Cobratate/status/1607715091566272513
52,Andrew Tate,🏎️ https://t.co/GVA1VygdaV,2022-12-27T10:06:07.000Z,https://twitter.com/Cobratate/status/1607679211233214464
53,Andrew Tate,"Hello @GretaThunberg 

I have 33 cars. 

My Bugatti has a w16 8.0L quad turbo. 

My TWO Ferrari 812 competizione have 6.5L v12s.

This is just the start.

Please provide your email address so I can send a complete list of my car collection and their respective enormous emissions. https://t.co/ehhOBDQyYU",2022-12-27T09:58:06.000Z,https://twitter.com/Cobratate/status/1607677190254235648
54,Andrew Tate,"You know something.

What you know you can't explain, but you feel it.

You've felt it your entire life.

You know there's something wrong with the world, it’s a a splinter in your mind, driving you mad.

It is this feeling that has brought you to me.",2022-12-27T07:50:32.000Z,https://twitter.com/Cobratate/status/1607645087630069761
55,Andrew Tate,Hard to kill.,2022-12-27T05:40:11.000Z,https://twitter.com/Cobratate/status/1607612284205170688
56,Andrew Tate,"Men are expected to have money, intelligence, and other achievements.

Anything less? 

You’re called a loser.

Understand, life isn’t fair.

But that’s a good thing.",2022-12-26T20:16:31.000Z,https://twitter.com/Cobratate/status/1607470432785166338
57,Andrew Tate,"Brothers.

Your enemies are plotting your absolute destruction.

And they are not taking days off to ""chill""

Do you understand?",2022-12-26T17:52:05.000Z,https://twitter.com/Cobratate/status/1607434084703240193
58,Andrew Tate,"You take the blue pill - the story ends, you wake up in your bed and believe whatever you want to believe. 

To take the red pill - click here: https://t.co/8EUCQbL4Y0

I will show you how deep the rabbit hole goes. https://t.co/rtzmtD450m",2022-12-26T17:16:23.000Z,https://twitter.com/Cobratate/status/1607425100801875968
59,Andrew Tate,Where are we going today? https://t.co/uWLiFKGhd1,2022-12-26T16:19:33.000Z,https://twitter.com/Cobratate/status/1607410798158286854
60,Andrew Tate,"How to resist the slave mind programming

Watch the full EM episode here:
https://t.co/nc4IRs8vtp https://t.co/kbkXWKyIwL",2022-12-26T15:33:10.000Z,https://twitter.com/Cobratate/status/1607399126009774082
61,Andrew Tate,"Why are all these ""business women"" and ""CEO"" chicks married to very rich men?

Its almost as if the man pays for their entire lives and their businesses are hobby bullshit.",2022-12-26T13:49:58.000Z,https://twitter.com/Cobratate/status/1607373157144436738
62,Andrew Tate,"You get the life you deserve.

Most of you are cowards and so that is what you get.

If you want more?

DO MORE AND BECOME MORE.",2022-12-26T13:24:26.000Z,https://twitter.com/Cobratate/status/1607366727909740544
63,Andrew Tate,"You’ve been programmed to be poor and weak.

Easily controlled.

HOWEVER, you can also be programmed to be rich and strong.",2022-12-26T09:29:25.000Z,https://twitter.com/Cobratate/status/1607307586407202816
64,Andrew Tate,"The Real World. TRW
The War Room. TWR

TRW leads to TWR.

TWR provides a white path to follow.

Do you understand?

https://t.co/u4TVQU0BXF",2022-12-25T20:27:11.000Z,https://twitter.com/Cobratate/status/1607110729374765057
65,Andrew Tate,Jake finally fought KSI.,2022-12-25T17:33:08.000Z,https://twitter.com/Cobratate/status/1607066931202510848
66,Andrew Tate,"Imagine saying ""The cast is insane!"" and thinking anybody gives a fuck. Clown.",2022-12-25T16:02:14.000Z,https://twitter.com/Cobratate/status/1607044052603502593
